"qid";"categoria";"pergunta";"ground_truth_MS";"resposta_chatbot";"I1_acuracia (correta/parcial/incorreta)";"I2_severidade (1-5; NA se correta)";"comentarios_qualitativos"
"ET-06";"esquemas_terapeuticos";"Qual a dose pediátrica de isoniazida no esquema 3HP para crianças de 10 a 15 kg?";"No esquema 3HP pediátrico (crianças de 2 a 14 anos), a dose de isoniazida para crianças de 10 a 15 kg é de 300mg por semana. Para rifapentina, a dose é também 300mg por semana para esse peso.";"A dose pediátrica de isoniazida no esquema 3HP para crianças de 10 a 15 kg é de 300 mg/semana, conforme descrito no Trecho 1 — tratamento_infeccao_latente_tuberculose_rifapentina_eletronico.md.";"";"";""
"ET-07";"esquemas_terapeuticos";"Qual a dose de isoniazida para adultos no esquema 6H?";"Para adultos, a dose de isoniazida nos esquemas 6H e 9H é de 5 a 10 mg/kg/dia, com dose máxima de 300 mg/dia. O esquema 6H contempla 180 doses (6 a 9 meses) e o 9H contempla 270 doses (9 a 12 meses). O esquema 9H protege mais que o 6H e deve ser preferido sempre que houver boa adesão.";"A dose de isoniazida para adultos no esquema 6H é de 5 a 10 mg/kg de peso até a dose máxima de 300 mg/dia (Seção 8.6, Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md).";"";"";""
"IM-01";"interacoes_medicamentosas";"Rifampicina tem interação com contraceptivos orais?";"A rifampicina interage com contraceptivos orais, reduzindo sua eficácia por indução enzimática. É recomendado utilizar método alternativo de contracepção durante o uso da rifampicina.";"Sim, a Rifampicina tem interação com contraceptivos orais. De acordo com o Trecho 1 do Manual de Recomendações para o controle da Tuberculose no Brasil, o efeito da interação é: Reduz o nível sérico dos anticoncepcionais. A recomendação é: Evitar uso concomitante e considerar uso de outros métodos contraceptivos. (Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md)";"";"";""
"IM-02";"interacoes_medicamentosas";"Qual a principal preocupação ao usar rifampicina em pessoas vivendo com HIV em uso de antirretrovirais?";"A rifampicina é um potente indutor enzimático que pode reduzir significativamente os níveis plasmáticos de antirretrovirais, especialmente inibidores de protease e inibidores não nucleosídeos da transcriptase reversa. Deve-se verificar interações medicamentosas antes de iniciar rifampicina em PVHIV.";"A principal preocupação ao usar rifampicina em pessoas vivendo com HIV em uso de antirretrovirais é a interação medicamentosa, especialmente com inibidores de protease ou dolutegravir, como mencionado no Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md. Nesses casos, a rifampicina está contraindicada devido às interações medicamentosas, e é recomendada a utilização de outras opções terapêuticas.

Seção de origem da resposta: Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md.";"";"";""
"IM-03";"interacoes_medicamentosas";"Isoniazida tem interação com fenitoína?";"A isoniazida interage com fenilhidantoína (fenitoína), causando maior hepatotoxicidade. A recomendação do Ministério da Saúde é evitar o uso concomitante. Quando ambos os fármacos forem necessários, deve-se monitorar sintomas e enzimas hepáticas conforme indicado.";"Não encontrei essa informação nos protocolos indexados. Consulte o Manual de Recomendações do MS.";"";"";""
"IM-05";"interacoes_medicamentosas";"Qual o prazo recomendado para aguardar antes de iniciar tratamento imunossupressor após diagnóstico de ILTB, segundo o consenso europeu?";"O Consenso Europeu que aborda infecções em DII recomenda aguardar 4 semanas para início do tratamento imunossupressor após o diagnóstico de ILTB, exceto em casos de maior urgência clínica após aconselhamento especializado.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, o Consenso Europeu recomenda aguardar 4 semanas para início do tratamento imunossupressor, exceto em casos de maior urgência clínica após aconselhamento especializado.";"";"";""
"IT-02";"indicacoes_tratamento";"Quando é indicado tratar ILTB em pessoa com alteração radiológica fibrótica pulmonar?";"Todos os indivíduos com PPD maior ou igual a 5mm e IGRA positivo e que tenham alterações radiológicas pulmonares fibróticas sugestivas de sequelas de TB, independe de ter alguma doença ou estar em tratamento, também têm indicação de tratamento da TBi.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, o tratamento para ILTB é indicado para indivíduos com PPD maior ou igual a 5 mm e IGRA positivo que tenham alterações radiológicas pulmonares fibróticas sugestivas de sequelas de TB, independentemente de ter alguma doença ou estar em tratamento.

Além disso, o Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, item 8, também menciona que deve-se tratar se houver alterações radiológicas fibróticas sugestivas de sequela de TB, desde que o PPD seja maior ou igual a 5mm ou o IGRA seja positivo.

Portanto, o tratamento é indicado quando há alteração radiológica fibrótica pulmonar e o PPD é maior ou igual a 5 mm ou o IGRA é positivo. (Trecho 1 e Trecho 2)";"";"";""
"IT-03";"indicacoes_tratamento";"Qual a indicação de tratamento da ILTB em paciente em pré-transplante?";"Estão incluídos na indicação de tratamento da TBi os pacientes com PPD maior ou igual a 5mm ou IGRA positivo em pré-transplante em uso de terapia imunossupressora.";"A indicação de tratamento da ILTB em paciente em pré-transplante é para aqueles que estão em uso de terapia imunossupressora, conforme descrito no Trecho 1 — GEDIIB_TratamentoTuberculose.md e Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, item 10. Além disso, o Trecho 2 também menciona que devem ser tratados se tiverem PPD ≥ 5mm ou IGRA positivo. (Seção: Trecho 1 — GEDIIB_TratamentoTuberculose.md e Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md)";"";"";""
"IT-04";"indicacoes_tratamento";"Quando tratar ILTB em paciente com prednisona?";"Devem receber tratamento para TBi indivíduos com PPD maior ou igual a 5mm e IGRA positivo, que estejam em uso ou iniciarão terapia com dose acima de 15 mg/dia de prednisona por período superior a um mês.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, os indivíduos que devem receber tratamento para TBi incluem aqueles que estejam em uso ou iniciarão terapia biológica com ação anti-TNF alfa ou uso de dose acima de 15 mg/dia de prednisona por período superior a um mês, com PPD maior ou igual a 5 mm e IGRA positivo. 

Portanto, o tratamento da ILTB deve ser considerado em pacientes que estejam usando prednisona acima de 15 mg/dia por mais de um mês, com PPD ≥ 5 mm e IGRA positivo. (Trecho 1 — GEDIIB_TratamentoTuberculose.md)";"";"";""
"IT-05";"indicacoes_tratamento";"Quando é indicado tratar ILTB em pessoas em contato com TB?";"Recomenda-se o tratamento da infecção latente pelo M. tuberculosis (ILTB) para pessoas infectadas, identificadas por meio da prova tuberculínica (PT) ou Interferon-Gamma Release Assays (IGRA), quando apresentam risco de desenvolver TB. Antes do tratamento deve-se afastar definitivamente a tuberculose ativa.";"De acordo com o Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, específicamente na seção 8.5.2. Pessoas vivendo com HIV, é indicado tratar a ILTB em pessoas vivendo com HIV (PVHIV) que estejam em contato intradomiciliar ou institucional com pacientes com TB pulmonar ou laríngea, independentemente do resultado da prova tuberculínica (PT) ou do Interferon-Gamma Release Assays (IGRA). Além disso, o Trecho 1 — recomendacoes-para-o-controle-da-tuberculose.md, na seção 2.2 Tratamento da Infecção Latente pelo Mycobacterium tuberculosis (ILTB), menciona que o tratamento da ILTB é recomendado para pessoas infectadas que apresentam risco de desenvolver TB, o que inclui contatos de casos de TB.";"";"";""
"MO-01";"monitoramento";"Com que frequência devem ser realizadas as avaliações clínicas no esquema 3HP?";"No esquema com isoniazida e rifapentina (3HP) estão indicadas avaliações mensais para avaliação clínica, seguimento da adesão ao tratamento e de eventos adversos.";"De acordo com o [Trecho 3 — Manual de Recomendações para o controle da Tuberculose no Brasil.md], o acompanhamento clínico deverá ser mensal. No entanto, é importante notar que essa informação é específica para o tratamento em geral e não está diretamente relacionada ao esquema 3HP. 

Para o esquema 3HP, não há menção específica sobre a frequência das avaliações clínicas nos trechos fornecidos. Portanto, a resposta mais apropriada seria: ""Não encontrei essa informação nos protocolos indexados. Consulte o Manual de Recomendações do MS.""";"";"";""
"MO-03";"monitoramento";"O que considerar durante o acompanhamento do tratamento da ILTB além do tempo?";"Durante o tratamento de TBi é importante levar em consideração o número de doses utilizadas e não apenas o tempo de tratamento.";"De acordo com o Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, durante o tratamento para ILTB, deve ser considerado em conjunto o número de doses tomadas e o tempo de tratamento, e não somente o tempo de tratamento transcorrido.

Seção de origem: Trecho 2 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md.";"";"";""
"MO-04";"monitoramento";"Quais informações devem ser registradas ao final de cada consulta de acompanhamento?";"Ao final da consulta de seguimento, deve-se: agendar consulta de seguimento para monitorar o progresso do tratamento, providenciar uma forma de o paciente entrar em contato com um profissional de saúde caso surjam problemas, organizar consultas em grupo se houver, registrar o que aconteceu durante a consulta, e encaminhar para serviços sociais existentes.";"De acordo com o [Trecho 1 — 9789275728185_por.md], ao final de cada consulta de acompanhamento, devem ser registradas as informações sobre o que aconteceu durante a consulta.

Além disso, o [Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md] e o [Trecho 4 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md] destacam a importância de registrar a evolução dos casos de ILTB, incluindo as informações sobre o tratamento, reações adversas, e outros eventos relevantes.

Portanto, as informações que devem ser registradas ao final de cada consulta de acompanhamento incluem:

* O que aconteceu durante a consulta;
* A evolução do tratamento;
* Reações adversas ou eventos adversos;
* Outras informações relevantes sobre o acompanhamento do paciente.

Essas informações devem ser registradas no ""Livro de investigação e acompanhamento de pessoas em tratamento da ILTB"" ou em instrumento próprio do estado e/ou município, bem como na ficha de notificação e no sistema IL-TB. (Seção: [Trecho 1 — 9789275728185_por.md] e [Trecho 4 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md])";"";"";""
"MO-05";"monitoramento";"Com que frequência pacientes com DII em uso de imunossupressor devem ser rastreados para ILTB?";"Pacientes com DII em uso contínuo de terapia com ação imunossupressora devem realizar rastreio anual para TBi por meio do PPD e/ou IGRA. Além disso, o consenso recomendou que pacientes sem tratamento prévio de TB realizem exames para triagem de TBi anuais durante o período de 3 anos e, em caso de mudança da terapia, a triagem está recomendada por um período de mais 3 anos.";"De acordo com o Trecho 2 — GEDIIB_TratamentoTuberculose.md, ## 4. Informações Adicionais, pacientes com DII em uso contínuo de terapia com ação imunossupressora devem realizar rastreio anual para TBi por meio do PPD e/ou IGRA.";"";"";""
"PE-01";"populacoes_especiais";"Posso tratar ILTB em gestante HIV negativa?";"Em gestantes HIV negativas, a recomendação é postergar o tratamento da ILTB para após o parto.";"De acordo com o Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 8.5.1. Gestantes, recomenda-se postergar o tratamento da ILTB para após o parto. Portanto, não é recomendado tratar ILTB em gestante HIV negativa durante a gestação, a menos que haja uma indicação específica para isso, o que não está mencionado nos trechos fornecidos. (Seção 8.5.1. Gestantes)";"";"";""
"PE-03";"populacoes_especiais";"Como manejar paciente em uso de anti-TNF com diagnóstico de ILTB?";"Indivíduos com PPD ≥ 5mm e IGRA positivo que estejam em uso ou iniciarão terapia biológica com ação anti-TNF alfa têm indicação de tratamento para TBi. O tratamento deve ser iniciado 30 dias antes do uso da terapia imunossupressora. Após o diagnóstico durante o tratamento da DII, recomenda-se tratamento da TBi além de vigilância e monitoramento.";"De acordo com o Trecho 3 — GEDIIB_TratamentoTuberculose.md, pacientes em uso de anti-TNF alfa devem receber tratamento para ILTB se tiverem PPD maior ou igual a 5 mm e IGRA positivo. Além disso, o Trecho 1 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, item 9, também destaca que indivíduos em uso de inibidores do TNF-α devem ser tratados se tiverem PT ≥ 5mm ou IGRA positivo. Portanto, o manejo desses pacientes deve seguir as diretrizes de tratamento da ILTB, considerando a indicação de tratamento com base nos resultados de PT e IGRA. (Seção: Trecho 3 — GEDIIB_TratamentoTuberculose.md e Trecho 1 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md)";"";"";""
"PE-04";"populacoes_especiais";"Qual esquema de tratamento da ILTB deve ser evitado em gestantes?";"O esquema 3HP (Rifapentina + Isoniazida) não está indicado para gestantes. As indicações do 3HP excluem gestantes entre as populações para as quais o esquema pode ser utilizado.";"De acordo com o Trecho 1 — tratamento_infeccao_latente_tuberculose_rifapentina_eletronico.md, o esquema 3HP não deve ser utilizado em caso de gestantes. 

Além disso, o Trecho 2 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção 8.5.1. Gestantes, também recomenda postergar o tratamento da ILTB para após o parto, exceto em gestantes com infecção pelo HIV, em que o tratamento da ILTB deve ser iniciado após o terceiro mês de gestação.

Portanto, o esquema 3HP deve ser evitado em gestantes, de acordo com as recomendações dos Trechos 1 e 2.";"";"";""
"PE-05";"populacoes_especiais";"Qual a dose de rifampicina para crianças no esquema 4R?";"No esquema pediátrico 4R, a rifampicina é administrada na dose de 15 mg/kg/dia, com dose máxima de 600 mg/dia, administrada diariamente por 4 meses.";"A dose de rifampicina para crianças no esquema 4R é de 15 (10-20) mg/kg/dia de peso, com dose máxima de 600 mg por dia, conforme descrito no Trecho 1 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção **Regime com rifampicina (R):** e também no Trecho 4 — Manual de Recomendações para o controle da Tuberculose no Brasil.md, seção **ANEXO VI – Tabela Posológica dos Medicamentos para Crianças (< 10 anos de idade) (Serializado por Fármaco)**. Além disso, o Trecho 3 — af_protocolo_vigilancia_iltb_2ed_9jun22_ok_web.md, seção **Esquema 4R**, fornece informações adicionais sobre o esquema 4R, incluindo o tempo de tratamento e o número de doses.";"";"";""
"PE-06";"populacoes_especiais";"Qual o risco aumentado de TB doença em pacientes com DII em uso de anti-TNF?";"Estudo realizado em nosso meio demonstrou aumento significativo do risco de TB doença em pacientes com DII em tratamento. O uso de tiopurinas aumentou o risco em 5,85 vezes, anti-TNF em 3,93 vezes e a combinação azatioprina + anti-TNF em 9,03 vezes.";"De acordo com o Trecho 1 — GEDIIB_TratamentoTuberculose.md, o uso de anti-TNF aumentou o risco de TB doença em 3,93 vezes em pacientes com DII.";"";"";""
